Customer ID,First Name,Last Name,Gender,Age,Region,Job Classification,Date Joined,Balance
200000069,Jason,Sharp,Male,53,Scotland,Blue Collar,12-Feb-15,35751.37
200000070,Kevin,Parr,Male,45,Scotland,Other,12-Feb-15,15013.76
200000071,Dan,Mills,Male,49,Scotland,Blue Collar,12-Feb-15,70041.44
200000072,Angela,Roberts,Female,51,Scotland,Other,,35937.38
300000073,Hanh,White,Female,36,,White Collar,12-Feb-15,41442.1
300000074,Oliver,Simpson,Male,45,Wales,Other,12-Feb-15,36696.92
400000075,Olivia,Dowd,Female,30,,White Collar,12-Feb-15,21.03
200000076,Michael,Hemmings,Male,44,Scotland,Blue Collar,24-Feb-15,58237.65
100000077,Frank,Brown,Male,38,England,White Collar,9-Mar-15,28509.46
100000078,Diane,Simpson,Female,36,England,Other,10-Mar-15,38715.45
300000079,Ruth,Mathis,Female,23,Wales,Blue Collar,15-Mar-15,7370.52
100000080,David,Peters,Male,34,England,White Collar,16-Mar-15,245.46
100000081,Joan,Buckland,Female,36,England,White Collar,16-Mar-15,59935.75
100000082,Neil,Robertson,Male,20,England,White Collar,16-Mar-15,11624.36
100000083,Paul,Mackay,Male,31,England,Blue Collar,16-Mar-15,
100000084,Dylan,Fraser,Male,42,England,White Collar,16-Mar-15,43770.37
100000085,Pippa,Buckland,Female,38,England,White Collar,,63642.19
100000086,Matt,McGrath,Male,39,England,White Collar,16-Mar-15,22831.08
100000087,Jack,White,Male,41,England,Other,16-Mar-15,4846.57
100000088,Jasmine,Piper,Female,24,England,White Collar,16-Mar-15,71571.52
100000089,Michelle,Ellison,Female,24,England,White Collar,16-Mar-15,42409.89
100000090,Wanda,Henderson,Female,35,England,White Collar,16-Mar-15,4194.57
100000091,Blake,Reid,Male,35,England,White Collar,,75613.68
100000092,Jane,Forsyth,Female,26,England,White Collar,16-Mar-15,28587.08
100000093,Dan,Peake,Male,23,England,White Collar,16-Mar-15,14699.05
100000094,Lisa,Davies,Female,38,England,Other,,44034.26
100000095,Rebecca,Knox,Female,30,England,White Collar,16-Mar-15,55046.35
100000096,Joshua,Slater,Male,28,England,White Collar,16-Mar-15,
100000097,Heather,Wallace,Female,38,England,Blue Collar,16-Mar-15,61890.85
100000098,Maria,Johnston,Female,36,England,White Collar,16-Mar-15,1430.6
200000099,Robert,May,Male,40,Scotland,Blue Collar,16-Mar-15,
100000249,Brandon,Bower,Male,43,England,White Collar,17-Apr-15,32667.33
